Subject,Object,DBSCAN_Cluster,Sentence
gas,sector,0,"While Terrell Natural Gas Processing Plant (1972) has a very low capture rate of 0.45 Mtpa, the Century Plant (2010) has a very high capture rate of 8.4 Mtpa in the Natural gas processing sector."
gas,capture,0,The Shute Creek Gas Processing Plant is transporting CO2 through the pipeline to a distance of 460 km. Most of the CCSU projects capture CO2 using a post-combustion separation process.
injection,gas,0,"These countries, like the USA, concentrate on CCSU projects mostly for EOR in their respective oilfields, as shown in Table 2. Injection in Western Australia started capturing CO2 in 2019 from the natural gas processing industry at a maximum of 3.7 Mtpa."
injection,industry,0,"These countries, like the USA, concentrate on CCSU projects mostly for EOR in their respective oilfields, as shown in Table 2. Injection in Western Australia started capturing CO2 in 2019 from the natural gas processing industry at a maximum of 3.7 Mtpa."
gas,industry,0,"These countries, like the USA, concentrate on CCSU projects mostly for EOR in their respective oilfields, as shown in Table 2. Injection in Western Australia started capturing CO2 in 2019 from the natural gas processing industry at a maximum of 3.7 Mtpa."
sector,capture,0,"Similarly, Great Plains Synfuel Plant and Wey- burn-Midale in North Dakota, United States & Saskatch- ewan, Canada, started capturing CO2 in 2000 from the oil refining sector with a capture rate of 3.0 Mtpa using lig- nite/brown coal as feedstock followin"
industry,capture,0,"Table 1 The CCSU Projects for EOR in the USA Source Compiled by authors from the website of the International Energy Agency (IEA), Paris Cedex 15, France Year CCSU projects Industry Capture rate (in Mtpa) Feedstock Capture type Distance transported (in km"
industry,capture,0,"Table 1 The CCSU Projects for EOR in the USA Source Compiled by authors from the website of the International Energy Agency (IEA), Paris Cedex 15, France Year CCSU projects Industry Capture rate (in Mtpa) Feedstock Capture type Distance transported (in km"
storage,utilization,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
storage,carbon,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
storage,capture,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
storage,capture,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
carbon,capture,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
carbon,capture,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
capture,carbon,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
capture,storage,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
carbon,capture,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
carbon,storage,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
carbon,capture,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
capture,storage,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
storage,capture,0,") Storage/utilization 2017 Petra Nova Carbon Capture Power, Coal Power Generation 1.4 Sub-bituminous Coal Post-combustion capture 132 Onshore, CO2-EOR 2017 Illinois Industrial Carbon Capture and Storage Refining (biofuels) 1.0 Corn Post-combustion capture"
hydrogen,gas,0," 1.6 Onshore, Saline aquifer 2013 Air Products Steam Methane Reformer Hydrogen Produc- tion 1.0 Natural Gas Post-combustion capture 158 Onshore, CO2-EOR 2013 Lost Cabin Gas Plant Natural Gas Pro- cessing 0.9 Natural Gas Post-combustion capture 374 Onshore"
hydrogen,capture,0," 1.6 Onshore, Saline aquifer 2013 Air Products Steam Methane Reformer Hydrogen Produc- tion 1.0 Natural Gas Post-combustion capture 158 Onshore, CO2-EOR 2013 Lost Cabin Gas Plant Natural Gas Pro- cessing 0.9 Natural Gas Post-combustion capture 374 Onshore"
gas,capture,0," 1.6 Onshore, Saline aquifer 2013 Air Products Steam Methane Reformer Hydrogen Produc- tion 1.0 Natural Gas Post-combustion capture 158 Onshore, CO2-EOR 2013 Lost Cabin Gas Plant Natural Gas Pro- cessing 0.9 Natural Gas Post-combustion capture 374 Onshore"
gas,capture,0," 1.6 Onshore, Saline aquifer 2013 Air Products Steam Methane Reformer Hydrogen Produc- tion 1.0 Natural Gas Post-combustion capture 158 Onshore, CO2-EOR 2013 Lost Cabin Gas Plant Natural Gas Pro- cessing 0.9 Natural Gas Post-combustion capture 374 Onshore"
gas,capture,0,", CO2-EOR 2013 Coffeyville Gasifi- cation Plant Chemicals (ammo- nia) 1.0 Petroleum Coke Post-combustion capture 112 Onshore, CO2-EOR 2010 Century Plant Natural Gas Pro- cessing 8.4 Natural gas Post-combustion capture 255 Onshore, CO2-EOR 1986 Shute Creek"
capture,gas,0,", CO2-EOR 2013 Coffeyville Gasifi- cation Plant Chemicals (ammo- nia) 1.0 Petroleum Coke Post-combustion capture 112 Onshore, CO2-EOR 2010 Century Plant Natural Gas Pro- cessing 8.4 Natural gas Post-combustion capture 255 Onshore, CO2-EOR 1986 Shute Creek"
capture,gas,0,", CO2-EOR 2013 Coffeyville Gasifi- cation Plant Chemicals (ammo- nia) 1.0 Petroleum Coke Post-combustion capture 112 Onshore, CO2-EOR 2010 Century Plant Natural Gas Pro- cessing 8.4 Natural gas Post-combustion capture 255 Onshore, CO2-EOR 1986 Shute Creek"
gas,capture,0,", CO2-EOR 2013 Coffeyville Gasifi- cation Plant Chemicals (ammo- nia) 1.0 Petroleum Coke Post-combustion capture 112 Onshore, CO2-EOR 2010 Century Plant Natural Gas Pro- cessing 8.4 Natural gas Post-combustion capture 255 Onshore, CO2-EOR 1986 Shute Creek"
gas,capture,0,", CO2-EOR 2013 Coffeyville Gasifi- cation Plant Chemicals (ammo- nia) 1.0 Petroleum Coke Post-combustion capture 112 Onshore, CO2-EOR 2010 Century Plant Natural Gas Pro- cessing 8.4 Natural gas Post-combustion capture 255 Onshore, CO2-EOR 1986 Shute Creek"
gas,capture,0," Gas Processing Plant Natural Gas Pro- cessing 7.0 Natural Gas Post-combustion capture 460 Onshore, CO2-EOR 1982 Enid Fertilizer Chemicals (ammo- nia) 0.7 Natural Gas Post-combustion capture 225 CO2-EOR 1972 Terrell Natural Gas Processing Plant (formerly "
gas,capture,0," Gas Processing Plant Natural Gas Pro- cessing 7.0 Natural Gas Post-combustion capture 460 Onshore, CO2-EOR 1982 Enid Fertilizer Chemicals (ammo- nia) 0.7 Natural Gas Post-combustion capture 225 CO2-EOR 1972 Terrell Natural Gas Processing Plant (formerly "
gas,capture,0," Gas Processing Plant Natural Gas Pro- cessing 7.0 Natural Gas Post-combustion capture 460 Onshore, CO2-EOR 1982 Enid Fertilizer Chemicals (ammo- nia) 0.7 Natural Gas Post-combustion capture 225 CO2-EOR 1972 Terrell Natural Gas Processing Plant (formerly "
gas,capture,0," Gas Processing Plant Natural Gas Pro- cessing 7.0 Natural Gas Post-combustion capture 460 Onshore, CO2-EOR 1982 Enid Fertilizer Chemicals (ammo- nia) 0.7 Natural Gas Post-combustion capture 225 CO2-EOR 1972 Terrell Natural Gas Processing Plant (formerly "
gas,capture,0,"Val Verde) Natural Gas Pro- cessing 0.45 Natural Gas Post-combustion capture 316 Onshore, CO2-EOR"
gas,capture,0,"Val Verde) Natural Gas Pro- cessing 0.45 Natural Gas Post-combustion capture 316 Onshore, CO2-EOR"
carbon,capture,0,2705Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 Methodology This study initially reviewed the available literature on CCSU in the global oil industry.
carbon,storage,0,2705Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 Methodology This study initially reviewed the available literature on CCSU in the global oil industry.
carbon,utilization,0,2705Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 Methodology This study initially reviewed the available literature on CCSU in the global oil industry.
capture,storage,0,2705Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 Methodology This study initially reviewed the available literature on CCSU in the global oil industry.
capture,utilization,0,2705Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 Methodology This study initially reviewed the available literature on CCSU in the global oil industry.
storage,utilization,0,2705Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 Methodology This study initially reviewed the available literature on CCSU in the global oil industry.
capture,utilization,0,We also explored the literature on CCS-EOR projects globally and reviewed the available literature in the public domain on the capture and utilization of CO2 from the oil industry.
capture,industry,0,We also explored the literature on CCS-EOR projects globally and reviewed the available literature in the public domain on the capture and utilization of CO2 from the oil industry.
utilization,industry,0,We also explored the literature on CCS-EOR projects globally and reviewed the available literature in the public domain on the capture and utilization of CO2 from the oil industry.
capture,utilization,0,The literature we reviewed gave us ideas about the available CO2 capture and utilization technology. The literature also informed us about how the CO2 is captured and converted into useful chemicals and how it is used in enhanced oil recovery.
capture,technology,0,The literature we reviewed gave us ideas about the available CO2 capture and utilization technology. The literature also informed us about how the CO2 is captured and converted into useful chemicals and how it is used in enhanced oil recovery.
utilization,technology,0,The literature we reviewed gave us ideas about the available CO2 capture and utilization technology. The literature also informed us about how the CO2 is captured and converted into useful chemicals and how it is used in enhanced oil recovery.
status,utilization,0,"Fur- ther, in this study, we explore the status of CO2 sourcing and utilization technology available in India using avail- able literature. Indian oil and gas operations accounted for 15% of the total energy system’s carbon emissions in 2019 (Nikita 2021)."
status,technology,0,"Fur- ther, in this study, we explore the status of CO2 sourcing and utilization technology available in India using avail- able literature. Indian oil and gas operations accounted for 15% of the total energy system’s carbon emissions in 2019 (Nikita 2021)."
status,gas,0,"Fur- ther, in this study, we explore the status of CO2 sourcing and utilization technology available in India using avail- able literature. Indian oil and gas operations accounted for 15% of the total energy system’s carbon emissions in 2019 (Nikita 2021)."
utilization,technology,0,"Fur- ther, in this study, we explore the status of CO2 sourcing and utilization technology available in India using avail- able literature. Indian oil and gas operations accounted for 15% of the total energy system’s carbon emissions in 2019 (Nikita 2021)."
utilization,gas,0,"Fur- ther, in this study, we explore the status of CO2 sourcing and utilization technology available in India using avail- able literature. Indian oil and gas operations accounted for 15% of the total energy system’s carbon emissions in 2019 (Nikita 2021)."
technology,gas,0,"Fur- ther, in this study, we explore the status of CO2 sourcing and utilization technology available in India using avail- able literature. Indian oil and gas operations accounted for 15% of the total energy system’s carbon emissions in 2019 (Nikita 2021)."
gas,carbon,0,"Fur- ther, in this study, we explore the status of CO2 sourcing and utilization technology available in India using avail- able literature. Indian oil and gas operations accounted for 15% of the total energy system’s carbon emissions in 2019 (Nikita 2021)."
gas,technology,0,"Hence, we focused on how CCSU has the potential to reduce CO2 emissions from oil and gas operations. CCSU technology in the refinery sector has not yet been implemented in India."
gas,sector,0,"Hence, we focused on how CCSU has the potential to reduce CO2 emissions from oil and gas operations. CCSU technology in the refinery sector has not yet been implemented in India."
technology,sector,0,"Hence, we focused on how CCSU has the potential to reduce CO2 emissions from oil and gas operations. CCSU technology in the refinery sector has not yet been implemented in India."
emission,capture,0,The available literature revealed that there is no progressive research on CO2 emission reduc- tion and capture from India’s refining industry because of the complexity.
emission,industry,0,The available literature revealed that there is no progressive research on CO2 emission reduc- tion and capture from India’s refining industry because of the complexity.
capture,industry,0,The available literature revealed that there is no progressive research on CO2 emission reduc- tion and capture from India’s refining industry because of the complexity.
carbon,capture,0,"Hence, one possibility moving forward could be that the refineries situated close to the depleted oil fields can be considered for matching the carbon capture, storage, and utilization implementation."
carbon,storage,0,"Hence, one possibility moving forward could be that the refineries situated close to the depleted oil fields can be considered for matching the carbon capture, storage, and utilization implementation."
carbon,utilization,0,"Hence, one possibility moving forward could be that the refineries situated close to the depleted oil fields can be considered for matching the carbon capture, storage, and utilization implementation."
capture,storage,0,"Hence, one possibility moving forward could be that the refineries situated close to the depleted oil fields can be considered for matching the carbon capture, storage, and utilization implementation."
capture,utilization,0,"Hence, one possibility moving forward could be that the refineries situated close to the depleted oil fields can be considered for matching the carbon capture, storage, and utilization implementation."
storage,utilization,0,"Hence, one possibility moving forward could be that the refineries situated close to the depleted oil fields can be considered for matching the carbon capture, storage, and utilization implementation."
site,transport,0,"To match the clus- ters, we should consider the potential project’s proximity to the oil field and the infrastructure near the site, such as transport roads and gas pipelines."
site,gas,0,"To match the clus- ters, we should consider the potential project’s proximity to the oil field and the infrastructure near the site, such as transport roads and gas pipelines."
transport,gas,0,"To match the clus- ters, we should consider the potential project’s proximity to the oil field and the infrastructure near the site, such as transport roads and gas pipelines."
storage,capacity,0,The viability of the oil field improves with decreas- ing distance to the sources and increasing storage capacity and oil recovery potential. One very high priority target is indicated by Source-Sink matching for large concentrated CO2 sources.
storage,source,0,The viability of the oil field improves with decreas- ing distance to the sources and increasing storage capacity and oil recovery potential. One very high priority target is indicated by Source-Sink matching for large concentrated CO2 sources.
capacity,source,0,The viability of the oil field improves with decreas- ing distance to the sources and increasing storage capacity and oil recovery potential. One very high priority target is indicated by Source-Sink matching for large concentrated CO2 sources.
carbon,conversion,0,4 Captured carbon dioxide converted to useful chemicals by different conversion route methods. (Source Cuellar and Azapagic 2015)
carbon,source,0,4 Captured carbon dioxide converted to useful chemicals by different conversion route methods. (Source Cuellar and Azapagic 2015)
conversion,source,0,4 Captured carbon dioxide converted to useful chemicals by different conversion route methods. (Source Cuellar and Azapagic 2015)
transport,storage,0,The distance between these sources and CO2 demanding sinks were mapped to identify the least-cost alternative in terms of transport and storage infrastructure (Figure 6).
analysis,gas,0,"Modeling Methods Power Plants For this analysis, a coal- ﬁred plant and two natural gas- ﬁred plants were used as reference cases on which CCUS implementations were simulated using the Integrated Environmental Control Model (IECM) (Consoli et al., 2017), "
gas,environmental,0,"Modeling Methods Power Plants For this analysis, a coal- ﬁred plant and two natural gas- ﬁred plants were used as reference cases on which CCUS implementations were simulated using the Integrated Environmental Control Model (IECM) (Consoli et al., 2017), "
gas,model,0,"Modeling Methods Power Plants For this analysis, a coal- ﬁred plant and two natural gas- ﬁred plants were used as reference cases on which CCUS implementations were simulated using the Integrated Environmental Control Model (IECM) (Consoli et al., 2017), "
environmental,model,0,"Modeling Methods Power Plants For this analysis, a coal- ﬁred plant and two natural gas- ﬁred plants were used as reference cases on which CCUS implementations were simulated using the Integrated Environmental Control Model (IECM) (Consoli et al., 2017), "
cost,gas,0,IECM is a modeling program that executes cost and performance analyses of equipment in power plants—coal-ﬁred and natural gas-ﬁred. It also provides mechanisms to calculate the cost of adding emission control equipment to the plants.
gas,cost,0,IECM is a modeling program that executes cost and performance analyses of equipment in power plants—coal-ﬁred and natural gas-ﬁred. It also provides mechanisms to calculate the cost of adding emission control equipment to the plants.
gas,emission,0,IECM is a modeling program that executes cost and performance analyses of equipment in power plants—coal-ﬁred and natural gas-ﬁred. It also provides mechanisms to calculate the cost of adding emission control equipment to the plants.
cost,emission,0,IECM is a modeling program that executes cost and performance analyses of equipment in power plants—coal-ﬁred and natural gas-ﬁred. It also provides mechanisms to calculate the cost of adding emission control equipment to the plants.
fuel,management,0,"It allows the user to classify the plant design using the following parameters: Power plant type; fuel type; NOx Control; SOx Control; Particulate Matter Control; Mercury Control; Solid Management system; Water Management System, and Carbon Capture and St"
fuel,management,0,"It allows the user to classify the plant design using the following parameters: Power plant type; fuel type; NOx Control; SOx Control; Particulate Matter Control; Mercury Control; Solid Management system; Water Management System, and Carbon Capture and St"
management,carbon,0,"It allows the user to classify the plant design using the following parameters: Power plant type; fuel type; NOx Control; SOx Control; Particulate Matter Control; Mercury Control; Solid Management system; Water Management System, and Carbon Capture and St"
management,capture,0,"It allows the user to classify the plant design using the following parameters: Power plant type; fuel type; NOx Control; SOx Control; Particulate Matter Control; Mercury Control; Solid Management system; Water Management System, and Carbon Capture and St"
management,carbon,0,"It allows the user to classify the plant design using the following parameters: Power plant type; fuel type; NOx Control; SOx Control; Particulate Matter Control; Mercury Control; Solid Management system; Water Management System, and Carbon Capture and St"
management,capture,0,"It allows the user to classify the plant design using the following parameters: Power plant type; fuel type; NOx Control; SOx Control; Particulate Matter Control; Mercury Control; Solid Management system; Water Management System, and Carbon Capture and St"
carbon,capture,0,"It allows the user to classify the plant design using the following parameters: Power plant type; fuel type; NOx Control; SOx Control; Particulate Matter Control; Mercury Control; Solid Management system; Water Management System, and Carbon Capture and St"
model,assessment,0,"The model runs on the Aspen Plus R⃝ and is based on the Technical Assessment Guide from Electric Power Research Institute (EPRI, 2013)."
factor,model,0,"The base plant simulation is carried out for a range of conditions and for variations in the system variables to cover a full factorial model space, using which multivariate linear regression equations are created that are incorporated as a module in IECM"
cost,capture,0,"Once the base plant calculations are carried out, cost-based calculations for CO2 capture process areas are undertaken to provide a comparative analysis of with and without CCUS cases."
cost,analysis,0,"Once the base plant calculations are carried out, cost-based calculations for CO2 capture process areas are undertaken to provide a comparative analysis of with and without CCUS cases."
capture,analysis,0,"Once the base plant calculations are carried out, cost-based calculations for CO2 capture process areas are undertaken to provide a comparative analysis of with and without CCUS cases."
cost,estimated,0,"Using regression, a scaling equation is used to calculate the cost of implementing CCS across equipment, process streams, and units, which is given as: X = Xref ∗ Y Yref 0.6 (2) where, X is the cost of the piece of equipment as estimated by the IECM, Xref"
source,transport,0,"For transportation of CO2 from the source to the sink the available alternatives are pipelines, motor carriers, tanker ships, and railroad transport."
storage,phase,0,"For the storage phase, IECM allows for the following methods: enhanced oil recovery (EOR), enhanced coal bed methane (ECBM), geological storage, and ocean storage."
cost,factor,0,"Mathematically, it can be expressed as: COE = (TCC ∗ FCF) + FOM CAPF ∗ 8760 ∗ MW + VOM + (HR ∗ FC) (3) where, COE is the Cost of Electricity in $/MWh, TCC is the total capital cost in $, FCF is the ﬁxed charge factor (fraction), which when multiplied by t"
fuel,cost,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
fuel,heat,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
cost,heat,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
heat,fuel,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
heat,cost,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
fuel,cost,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
fuel,capacity,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
fuel,factor,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
cost,capacity,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
cost,factor,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
capacity,factor,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
factor,capacity,0,"VOM is the Variable O& M costs, excluding fuel cost in $/MWh, HR is the heat rate of the power plant in MJ/MWh, FC is the unit fuel cost in $/MJ, CAPF is the annual average capacity factor (fraction), and MW is the net power plant capacity in MW."
conversion,ammonia,0,"Datta and Krishnamoorti CCUS in Northeast India FIGURE 8 | Schematic diagram of conversion of ammonia into ammonium nitrate in a fertilizer plant. Data Source: Yara International ASA (Jan-Petter, 2014)."
conversion,source,0,"Datta and Krishnamoorti CCUS in Northeast India FIGURE 8 | Schematic diagram of conversion of ammonia into ammonium nitrate in a fertilizer plant. Data Source: Yara International ASA (Jan-Petter, 2014)."
ammonia,source,0,"Datta and Krishnamoorti CCUS in Northeast India FIGURE 8 | Schematic diagram of conversion of ammonia into ammonium nitrate in a fertilizer plant. Data Source: Yara International ASA (Jan-Petter, 2014)."
transport,model,0,• CCS levelized O&M Cost for transport: All transportation is assumed via pipelines and is calculated from the pipeline sub-process model. • CCS levelized O&M Cost for storage: This provides the unit cost of CO2 utilization/storage.
model,cost,0,• CCS levelized O&M Cost for transport: All transportation is assumed via pipelines and is calculated from the pipeline sub-process model. • CCS levelized O&M Cost for storage: This provides the unit cost of CO2 utilization/storage.
model,storage,0,• CCS levelized O&M Cost for transport: All transportation is assumed via pipelines and is calculated from the pipeline sub-process model. • CCS levelized O&M Cost for storage: This provides the unit cost of CO2 utilization/storage.
capture,cost,0,Eight thousand seven hundred sixty is the number of hours in one year measured in h. The costs are calculated as: • CO2 capture Capital Cost: Expressed as constant or current dollars for a given year.
model,cost,0,• CCS levelized O&M Cost for transport: All transportation is assumed via pipelines and is calculated from the pipeline sub-process model. • CCS levelized O&M Cost for storage: This provides the unit cost of CO2 utilization/storage.
cost,chemical,0,"• Annual Variable Cost: The operating and maintenance variables costs are given as an annual total. This includes all reagent, chemical, steam, and power costs."
cost,factor,0,"• Annualized Capital Cost: This is the total capital cost expressed on an annualized basis, taking into consideration the levelized carrying charge factor, or ﬁxed charge factor, over entire book life."
cost,project,0,"Fertilizer Plant It is diﬃcult to quantify the exact cost of CO2 enabled EOR from the Brahmaputra Valley Fertilizer Corporation Ltd. plant, due to unavailability of data. The following calculations provide a rough estimate of the cost of the project."
cost,factor,0,"• Annualized Capital Cost: This is the total capital cost expressed on an annualized basis, taking into consideration the levelized carrying charge factor, or ﬁxed charge factor, over entire book life."
cost,factor,0,"• Annualized Capital Cost: This is the total capital cost expressed on an annualized basis, taking into consideration the levelized carrying charge factor, or ﬁxed charge factor, over entire book life."
model,utilization,0,• CCS levelized O&M Cost for transport: All transportation is assumed via pipelines and is calculated from the pipeline sub-process model. • CCS levelized O&M Cost for storage: This provides the unit cost of CO2 utilization/storage.
